channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.15004899,0.06693342,191,54,18
S1_D3,0.18773223,0.11323066,191,54,1
S2_D2,0.16562898,0.13485144,191,54,8
S2_D1,0.17565849,0.12186881,191,54,3
S2_D5,0.14800718,0.10776141,191,54,21
S3_D1,0.17491467,0.13595074,191,54,4
S3_D3,0.15229346,0.08600701,191,54,15
S3_D4,0.14754938,0.07573567,191,54,22
S3_D6,0.18427514,0.14773989,191,54,2
S4_D4,0.15019697,0.10032440,191,54,17
S4_D5,0.14861450,0.10430841,191,54,19
S4_D7,0.16358583,0.11701343,191,54,10
S5_D2,0.15591696,0.08255149,191,54,14
S5_D5,0.15614040,0.08780410,191,54,13
S5_D8,0.14104374,0.07446811,191,54,23
S6_D3,0.17165259,0.07698568,191,54,6
S6_D6,0.15795429,0.11423588,191,54,11
S7_D4,0.16391261,0.08683576,191,54,9
S7_D6,0.17473711,0.12944721,191,54,5
S7_D7,0.15672125,0.09108789,191,54,12
S8_D5,0.16573526,0.08096867,191,54,7
S8_D7,0.15183026,0.07279929,191,54,16
S8_D8,0.14856605,0.07242956,191,54,20
