window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02519721,0.00320992
1,0.80000001,2.40000010,0.02500459,0.00482382
2,1.60000002,3.20000005,0.02458073,0.00458089
3,2.40000010,4.00000000,0.02472311,0.00414555
4,3.20000005,4.80000019,0.02469666,0.00334178
5,4.00000000,5.59999990,0.02457870,0.00272279
6,4.80000019,6.40000010,0.02463369,0.00311506
7,5.59999990,7.19999981,0.02493440,0.00340730
8,6.40000010,8.00000000,0.02534924,0.00317469
9,7.19999981,8.80000019,0.02532254,0.00327349
10,8.00000000,9.60000038,0.02534315,0.00311921
11,8.80000019,10.39999962,0.02546076,0.00248135
12,9.60000038,11.19999981,0.02574212,0.00254980
13,10.39999962,12.00000000,0.02599934,0.00253933
14,11.19999981,12.80000019,0.02572240,0.00254820
15,12.00000000,13.60000038,0.02559397,0.00271531
16,12.80000019,14.39999962,0.02560828,0.00269207
17,13.60000038,15.19999981,0.02565948,0.00242327
18,14.39999962,16.00000000,0.02559244,0.00256685
19,15.19999981,16.79999924,0.02588550,0.00279163
20,16.00000000,17.60000038,0.02619641,0.00271614
21,16.79999924,18.39999962,0.02637308,0.00253062
22,17.60000038,19.20000076,0.02651110,0.00255443
23,18.39999962,20.00000000,0.02667681,0.00259638
24,19.20000076,20.79999924,0.02642575,0.00232220
25,20.00000000,21.60000038,0.02662411,0.00220706
26,20.79999924,22.39999962,0.02628649,0.00231313
27,21.60000038,23.20000076,0.02613338,0.00226799
28,22.39999962,24.00000000,0.02595517,0.00209933
29,23.20000076,24.79999924,0.02578534,0.00224397
30,24.00000000,25.60000038,0.02621133,0.00198049
31,24.79999924,26.39999962,0.02649199,0.00270823
32,25.60000038,27.20000076,0.02615384,0.00230942
33,26.39999962,28.00000000,0.02576391,0.00213449
34,27.20000076,28.79999924,0.02594684,0.00244188
35,28.00000000,29.60000038,0.02554676,0.00239078
36,28.79999924,30.39999962,0.02545385,0.00261850
37,29.60000038,31.20000076,0.02506505,0.00284919
38,30.39999962,32.00000000,0.02477047,0.00331559
