channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00942850,0.06146418,177,56,2
S1_D3,0.99600369,0.04644185,177,56,16
S2_D2,1.01456249,0.05134217,177,56,1
S2_D1,0.99427384,0.05908915,177,56,18
S2_D5,1.00537229,0.04634616,177,56,6
S3_D1,1.00579333,0.03918823,177,56,5
S3_D3,1.00391841,0.05370915,177,56,9
S3_D4,0.99297708,0.05555563,177,56,20
S3_D6,0.99438941,0.03897098,177,56,17
S4_D4,0.99833584,0.05434696,177,56,14
S4_D5,0.98871857,0.06517091,177,56,22
S4_D7,1.00180078,0.05896616,177,56,10
S5_D2,0.99682581,0.04644803,177,56,15
S5_D5,1.00519466,0.05117982,177,56,7
S5_D8,1.00101459,0.04087304,177,56,11
S6_D3,0.98620224,0.06392021,177,56,23
S6_D6,0.99256456,0.05728990,177,56,21
S7_D4,1.00025201,0.05576979,177,56,12
S7_D6,1.00748837,0.04822394,177,56,3
S7_D7,0.99933583,0.03935117,177,56,13
S8_D5,1.00707078,0.05114727,177,56,4
S8_D7,1.00482297,0.04976294,177,56,8
S8_D8,0.99365264,0.04666042,177,56,19
