channel_i,channel_j,mean,std,n_trials,rank
S5_D2,S8_D7,0.00017854,0.00094770,149,1
S1_D1,S8_D7,0.00013373,0.00102876,149,2
S1_D3,S8_D7,0.00012376,0.00097038,149,3
S4_D7,S8_D7,0.00012091,0.00151725,149,4
S4_D7,S6_D6,0.00010371,0.00163311,149,5
S3_D3,S5_D2,0.00009548,0.00095778,149,6
S3_D1,S6_D3,0.00008369,0.00072036,149,7
S2_D5,S8_D7,0.00007677,0.00089390,149,8
S1_D1,S4_D5,0.00007590,0.00095708,149,9
S1_D1,S5_D2,0.00006199,0.00115311,149,10
S1_D1,S8_D5,0.00006181,0.00094530,149,11
S4_D7,S8_D8,0.00006012,0.00082972,149,12
S7_D7,S8_D7,0.00004615,0.00091378,149,13
S2_D2,S8_D5,0.00004494,0.00068050,149,14
S3_D1,S8_D7,0.00004010,0.00103777,149,15
S3_D3,S5_D8,0.00003803,0.00065384,149,16
S3_D1,S7_D4,0.00003535,0.00088216,149,17
S1_D1,S7_D4,0.00003288,0.00086287,149,18
S5_D2,S8_D5,0.00003278,0.00077862,149,19
S5_D5,S7_D7,0.00003167,0.00070212,149,20
S2_D1,S6_D6,0.00003147,0.00070724,149,21
S2_D1,S5_D5,0.00003133,0.00071962,149,22
S5_D2,S7_D4,0.00003096,0.00089294,149,23
S2_D1,S3_D4,0.00003024,0.00074524,149,24
S1_D1,S3_D6,0.00002930,0.00114642,149,25
S2_D5,S5_D2,0.00002861,0.00089839,149,26
S1_D1,S7_D6,0.00002836,0.00092327,149,27
S3_D1,S5_D2,0.00002742,0.00059999,149,28
S8_D7,S8_D8,0.00002584,0.00052646,149,29
S3_D1,S4_D7,0.00002564,0.00056152,149,30
S2_D1,S5_D8,0.00002269,0.00071335,149,31
S3_D3,S4_D5,0.00002230,0.00072863,149,32
S3_D4,S5_D5,0.00002016,0.00071274,149,33
S1_D1,S3_D4,0.00001801,0.00090107,149,34
S2_D2,S8_D8,0.00001791,0.00090991,149,35
S1_D1,S6_D6,0.00001757,0.00094362,149,36
S2_D1,S5_D2,0.00001460,0.00079858,149,37
S3_D3,S4_D7,0.00001439,0.00067047,149,38
S3_D3,S6_D3,0.00001250,0.00080241,149,39
S1_D1,S2_D1,0.00001062,0.00104893,149,40
S5_D2,S7_D7,0.00001045,0.00070595,149,41
S6_D3,S6_D6,0.00001036,0.00093191,149,42
S3_D3,S6_D6,0.00000981,0.00079999,149,43
S1_D1,S5_D5,0.00000788,0.00090960,149,44
S2_D1,S3_D3,0.00000759,0.00083233,149,45
S3_D1,S7_D7,0.00000607,0.00086779,149,46
S4_D4,S4_D7,0.00000419,0.00054171,149,47
S1_D1,S1_D3,0.00000013,0.00097784,149,48
S3_D3,S5_D5,-0.00000251,0.00076588,149,49
S2_D5,S7_D6,-0.00000372,0.00065133,149,50
