channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.03766391,0.04498848,149,46,5
S1_D3,0.03768498,0.05468476,149,46,4
S2_D2,0.03373099,0.02933625,149,46,10
S2_D1,0.04050347,0.04280427,149,46,2
S2_D5,0.03190870,0.03979984,149,46,14
S3_D1,0.03305655,0.03356664,149,46,11
S3_D3,0.03694940,0.04142646,149,46,6
S3_D4,0.03385815,0.03292740,149,46,8
S3_D6,0.03127578,0.03384158,149,46,17
S4_D4,0.03285195,0.03123626,149,46,12
S4_D5,0.02849906,0.02539923,149,46,22
S4_D7,0.02702767,0.02346747,149,46,23
S5_D2,0.03914452,0.03789124,149,46,3
S5_D5,0.03381221,0.03219681,149,46,9
S5_D8,0.03243741,0.02758439,149,46,13
S6_D3,0.03162063,0.02631439,149,46,15
S6_D6,0.03582457,0.03866266,149,46,7
S7_D4,0.03134159,0.02580909,149,46,16
S7_D6,0.03068078,0.02798976,149,46,19
S7_D7,0.03070155,0.02752450,149,46,18
S8_D5,0.02986585,0.02823254,149,46,20
S8_D7,0.02918259,0.02721690,149,46,21
S8_D8,0.04168400,0.05247360,149,46,1
