ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.10,R,0.11437906,3,3.00000000
Brodmann.8,R,0.10972382,4,4.00000000
Brodmann.9,R,0.09643455,4,4.00000000
Brodmann.9,L,0.08965322,3,3.00000000
Brodmann.8,L,0.08201059,4,4.00000000
Brodmann.10,L,0.06020071,2,2.00000000
Brodmann.46,R,0.05408261,2,2.00000000
Brodmann.46,L,0.01955546,1,1.00000000
