ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.97848629,4,4.00000000
Brodmann.8,R,4.86323500,4,4.00000000
Brodmann.8,L,4.84503125,4,4.00000000
Brodmann.10,R,4.05009293,3,3.00000000
Brodmann.9,L,3.83558858,3,3.00000000
Brodmann.46,R,2.55184925,2,2.00000000
Brodmann.10,L,2.42122328,2,2.00000000
Brodmann.46,L,1.30172074,1,1.00000000
