channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.14137977,0.03670951,186,55,13
S1_D3,0.16513301,0.03963572,186,55,3
S2_D2,0.14218974,0.03568529,186,55,12
S2_D1,0.14712338,0.02467577,186,55,10
S2_D5,0.13676743,0.05846637,186,55,16
S3_D1,0.15067622,0.03962761,186,55,8
S3_D3,0.13229226,0.01973942,186,55,20
S3_D4,0.13178965,0.01910571,186,55,21
S3_D6,0.17973638,0.09918347,186,55,1
S4_D4,0.14813732,0.04825287,186,55,9
S4_D5,0.12152906,0.01402720,186,55,23
S4_D7,0.17381682,0.07785418,186,55,2
S5_D2,0.14325544,0.04813887,186,55,11
S5_D5,0.13795722,0.01730910,186,55,14
S5_D8,0.12694627,0.01762839,186,55,22
S6_D3,0.15316209,0.02581614,186,55,5
S6_D6,0.13655284,0.05024512,186,55,17
S7_D4,0.15185221,0.04752761,186,55,7
S7_D6,0.15291986,0.05791390,186,55,6
S7_D7,0.13686347,0.01963221,186,55,15
S8_D5,0.15561529,0.03542084,186,55,4
S8_D7,0.13377832,0.02067836,186,55,18
S8_D8,0.13346638,0.01410630,186,55,19
