channel_i,channel_j,mean,std,n_trials,rank
S3_D4,S3_D6,0.12896456,0.03177224,202,1
S1_D1,S2_D1,0.12798060,0.02555329,202,2
S4_D5,S4_D7,0.12651534,0.03195658,202,3
S2_D2,S2_D1,0.12648432,0.04933597,202,4
S3_D6,S6_D6,0.12628169,0.02976640,202,5
S5_D8,S8_D8,0.12591039,0.03117393,202,6
S2_D2,S3_D6,0.12572776,0.02817863,202,7
S7_D4,S7_D6,0.12556568,0.02428276,202,8
S4_D5,S5_D8,0.12510735,0.02625758,202,9
S4_D5,S8_D8,0.12470169,0.03449985,202,10
S4_D4,S7_D7,0.12386640,0.02565621,202,11
S3_D1,S3_D6,0.12357855,0.03414763,202,12
S2_D1,S5_D5,0.12350721,0.02807098,202,13
S4_D4,S7_D6,0.12342145,0.03203893,202,14
S4_D7,S5_D5,0.12327541,0.02605539,202,15
S2_D1,S4_D5,0.12326985,0.02955426,202,16
S2_D2,S8_D7,0.12313377,0.03138003,202,17
S4_D7,S5_D8,0.12280750,0.02506881,202,18
S4_D4,S6_D3,0.12267830,0.03039474,202,19
S7_D4,S8_D8,0.12265281,0.03057500,202,20
S4_D4,S5_D5,0.12258469,0.02952346,202,21
S3_D4,S6_D6,0.12257843,0.02756857,202,22
S2_D5,S7_D6,0.12249254,0.02253569,202,23
S2_D5,S4_D4,0.12246364,0.03335436,202,24
S2_D5,S6_D3,0.12244949,0.03235651,202,25
S6_D6,S7_D6,0.12243200,0.02637035,202,26
S2_D2,S5_D2,0.12222651,0.02840520,202,27
S3_D6,S7_D6,0.12213241,0.02252575,202,28
S8_D7,S8_D8,0.12207219,0.02258198,202,29
S4_D4,S4_D5,0.12201910,0.02414470,202,30
S2_D5,S3_D6,0.12201024,0.02591801,202,31
S1_D3,S7_D6,0.12176243,0.02697212,202,32
S4_D5,S7_D4,0.12171280,0.03011604,202,33
S4_D7,S7_D7,0.12163088,0.02119546,202,34
S3_D3,S7_D6,0.12156419,0.02353099,202,35
S3_D4,S7_D4,0.12149010,0.02843422,202,36
S2_D2,S7_D6,0.12142289,0.02836220,202,37
S2_D5,S5_D8,0.12137408,0.02773332,202,38
S4_D4,S4_D7,0.12120926,0.02378456,202,39
S3_D6,S7_D4,0.12112604,0.02473410,202,40
S3_D1,S6_D6,0.12081867,0.02913366,202,41
S4_D4,S5_D8,0.12069689,0.02299188,202,42
S8_D5,S8_D7,0.12067597,0.02631635,202,43
S3_D4,S4_D4,0.12063863,0.03065141,202,44
S6_D6,S8_D8,0.12057915,0.02799308,202,45
S3_D4,S4_D7,0.12050763,0.02512567,202,46
S4_D5,S7_D6,0.12043249,0.02722627,202,47
S2_D2,S5_D5,0.12030102,0.02298941,202,48
S4_D4,S7_D4,0.12029061,0.01984446,202,49
S2_D1,S5_D2,0.12025283,0.02167582,202,50
