ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,4.00619972,4,4.00000000
Brodmann.9,R,4.00076586,4,4.00000000
Brodmann.8,R,3.99374336,4,4.00000000
Brodmann.9,L,3.00643801,3,3.00000000
Brodmann.10,R,2.99091768,3,3.00000000
Brodmann.46,R,2.01435494,2,2.00000000
Brodmann.10,L,1.99295092,2,2.00000000
Brodmann.46,L,0.99462909,1,1.00000000
