ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.06417001,4,4.00000000
Brodmann.8,R,3.97068132,4,4.00000000
Brodmann.8,L,3.96409215,4,4.00000000
Brodmann.10,R,3.00425631,3,3.00000000
Brodmann.9,L,2.89397090,3,3.00000000
Brodmann.46,R,2.08706832,2,2.00000000
Brodmann.10,L,2.02185392,2,2.00000000
Brodmann.46,L,0.99390721,1,1.00000000
