ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,R,4.85067009,4,4.00000000
Brodmann.9,R,4.74444925,4,4.00000000
Brodmann.8,L,4.65951586,4,4.00000000
Brodmann.10,R,3.65211034,3,3.00000000
Brodmann.9,L,3.56292618,3,3.00000000
Brodmann.46,R,2.36685586,2,2.00000000
Brodmann.10,L,2.31439316,2,2.00000000
Brodmann.46,L,1.09634650,1,1.00000000
