channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.44322455,0.52464592,162,52,2
S1_D3,1.33078599,0.50899738,162,52,19
S2_D2,1.38274825,0.56934661,162,52,7
S2_D1,1.53098989,0.62850541,162,52,1
S2_D5,1.34854949,0.52575785,162,52,14
S3_D1,1.36878026,0.54665101,162,52,10
S3_D3,1.39434302,0.58350343,162,52,5
S3_D4,1.32513154,0.47835818,162,52,20
S3_D6,1.33345103,0.45090166,162,52,18
S4_D4,1.36124742,0.49715263,162,52,12
S4_D5,1.36676872,0.42368647,162,52,11
S4_D7,1.34595871,0.53096068,162,52,15
S5_D2,1.39330554,0.47856659,162,52,6
S5_D5,1.30761743,0.49037436,162,52,21
S5_D8,1.33657908,0.49361339,162,52,17
S6_D3,1.38086259,0.53995800,162,52,8
S6_D6,1.36118197,0.51651609,162,52,13
S7_D4,1.41421258,0.53385240,162,52,4
S7_D6,1.34179413,0.47530720,162,52,16
S7_D7,1.30736804,0.40798518,162,52,22
S8_D5,1.28068030,0.42865822,162,52,23
S8_D7,1.43179584,0.52055520,162,52,3
S8_D8,1.37068450,0.50992620,162,52,9
