channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S7_D7,0.14352646,0.04296664,162,1
S4_D5,S4_D7,0.14338030,0.08756968,162,2
S4_D4,S7_D6,0.14294434,0.05143711,162,3
S3_D4,S3_D6,0.14082834,0.03885258,162,4
S3_D4,S6_D6,0.14056073,0.04762364,162,5
S1_D1,S2_D1,0.14046328,0.05194549,162,6
S4_D4,S6_D3,0.13947007,0.05007647,162,7
S4_D5,S5_D8,0.13936494,0.05731389,162,8
S4_D4,S4_D7,0.13862808,0.05479925,162,9
S4_D4,S7_D4,0.13850652,0.03685483,162,10
S3_D6,S7_D4,0.13774569,0.03733631,162,11
S4_D5,S5_D5,0.13766673,0.05038570,162,12
S4_D5,S7_D4,0.13736427,0.05718210,162,13
S4_D5,S7_D6,0.13725194,0.04657656,162,14
S3_D6,S6_D6,0.13716307,0.03027845,162,15
S3_D4,S8_D7,0.13652366,0.03843698,162,16
S1_D1,S3_D6,0.13576138,0.03781971,162,17
S3_D4,S6_D3,0.13563079,0.02844327,162,18
S4_D4,S5_D8,0.13551794,0.04903336,162,19
S2_D2,S3_D6,0.13539556,0.03617128,162,20
S6_D6,S7_D6,0.13529517,0.05659840,162,21
S2_D1,S5_D2,0.13528103,0.04096670,162,22
S2_D5,S4_D4,0.13518216,0.03534210,162,23
S7_D4,S7_D6,0.13510345,0.02935069,162,24
S1_D1,S4_D5,0.13508393,0.04311204,162,25
S4_D4,S8_D8,0.13506901,0.05592617,162,26
S4_D4,S4_D5,0.13505653,0.04929031,162,27
S3_D6,S7_D6,0.13476771,0.02825891,162,28
S4_D7,S8_D7,0.13457201,0.03403545,162,29
S4_D5,S8_D8,0.13449886,0.03252822,162,30
S3_D4,S4_D5,0.13435721,0.03741709,162,31
S4_D4,S8_D5,0.13397528,0.04054192,162,32
S2_D5,S6_D3,0.13386887,0.03414693,162,33
S4_D7,S5_D5,0.13376418,0.02922572,162,34
S5_D8,S8_D8,0.13371411,0.03565164,162,35
S8_D7,S8_D8,0.13365689,0.03269545,162,36
S2_D1,S4_D5,0.13335368,0.04750164,162,37
S2_D1,S5_D5,0.13331518,0.03566642,162,38
S4_D7,S7_D7,0.13327216,0.02202972,162,39
S2_D2,S8_D7,0.13309933,0.03666840,162,40
S3_D4,S7_D4,0.13302633,0.03273179,162,41
S4_D7,S5_D8,0.13271441,0.02899994,162,42
S3_D3,S4_D7,0.13262592,0.05797732,162,43
S1_D3,S3_D3,0.13256246,0.04262226,162,44
S3_D6,S4_D5,0.13248250,0.03299827,162,45
S5_D8,S7_D4,0.13231808,0.03142289,162,46
S4_D7,S7_D4,0.13193533,0.04018176,162,47
S3_D6,S6_D3,0.13182904,0.03417131,162,48
S4_D5,S8_D5,0.13174485,0.04769163,162,49
S3_D3,S5_D5,0.13172923,0.04756358,162,50
