channel_i,channel_j,mean,std,n_trials,rank
S2_D1,S4_D5,0.05944647,0.04830942,149,1
S1_D1,S4_D5,0.05762082,0.04427652,149,2
S2_D2,S4_D5,0.05546869,0.04106420,149,3
S4_D4,S7_D4,0.05495737,0.04083234,149,4
S4_D4,S8_D7,0.05487325,0.04294947,149,5
S2_D2,S8_D7,0.05449175,0.03763365,149,6
S4_D4,S6_D6,0.05417110,0.03689512,149,7
S4_D4,S5_D8,0.05365414,0.03796240,149,8
S1_D1,S2_D1,0.05365029,0.03770424,149,9
S4_D4,S8_D5,0.05347497,0.04013096,149,10
S1_D3,S2_D1,0.05287169,0.03567905,149,11
S4_D4,S7_D7,0.05265409,0.04392334,149,12
S1_D1,S2_D2,0.05264930,0.02990442,149,13
S1_D3,S4_D5,0.05246768,0.02995323,149,14
S4_D4,S7_D6,0.05228386,0.04053573,149,15
S1_D3,S2_D2,0.05207410,0.02496151,149,16
S1_D1,S1_D3,0.05178976,0.02944991,149,17
S7_D6,S8_D7,0.05150668,0.02643441,149,18
S3_D3,S4_D5,0.05078963,0.04302698,149,19
S4_D4,S8_D8,0.05065144,0.04682473,149,20
S2_D1,S3_D3,0.05060512,0.03800794,149,21
S2_D2,S8_D8,0.04997507,0.04471349,149,22
S4_D7,S8_D7,0.04979016,0.02227571,149,23
S3_D4,S4_D5,0.04957771,0.03532938,149,24
S4_D4,S6_D3,0.04945574,0.03733331,149,25
S2_D5,S8_D7,0.04940073,0.02902471,149,26
S6_D6,S8_D7,0.04935864,0.02330647,149,27
S3_D6,S8_D7,0.04930606,0.02315438,149,28
S2_D2,S2_D1,0.04927090,0.03371485,149,29
S1_D3,S8_D7,0.04915704,0.03136498,149,30
S1_D1,S3_D3,0.04911119,0.03120667,149,31
S2_D1,S5_D5,0.04895607,0.03958244,149,32
S2_D2,S8_D5,0.04881433,0.03622799,149,33
S2_D1,S2_D5,0.04861946,0.03489949,149,34
S1_D1,S6_D6,0.04849633,0.02659459,149,35
S8_D5,S8_D7,0.04790508,0.02475426,149,36
S5_D8,S8_D7,0.04784955,0.02388073,149,37
S1_D1,S7_D4,0.04784688,0.02462432,149,38
S2_D2,S7_D4,0.04765370,0.02352810,149,39
S6_D3,S8_D7,0.04764365,0.02502998,149,40
S2_D5,S4_D5,0.04755333,0.03608348,149,41
S7_D7,S8_D7,0.04740022,0.02977954,149,42
S3_D6,S6_D6,0.04739670,0.02106211,149,43
S2_D1,S5_D2,0.04730652,0.03198938,149,44
S2_D1,S6_D3,0.04730465,0.03554299,149,45
S3_D3,S7_D6,0.04730177,0.02510711,149,46
S3_D1,S4_D5,0.04729782,0.04436604,149,47
S1_D3,S3_D3,0.04729192,0.02546162,149,48
S4_D4,S4_D5,0.04725365,0.03433390,149,49
S4_D4,S5_D5,0.04716768,0.03323635,149,50
