channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.08824611,0.45425588,149,46,3
S1_D3,1.04371095,0.27758622,149,46,6
S2_D2,1.07738113,0.32831040,149,46,5
S2_D1,1.08560443,0.58879387,149,46,4
S2_D5,0.92997676,0.25600082,149,46,22
S3_D1,0.97701818,0.29344290,149,46,13
S3_D3,1.02857888,0.26749668,149,46,8
S3_D4,0.94623524,0.27807128,149,46,20
S3_D6,0.94920856,0.21260950,149,46,18
S4_D4,1.08867657,0.40879568,149,46,2
S4_D5,1.03832698,0.44796634,149,46,7
S4_D7,0.95212942,0.19567281,149,46,17
S5_D2,0.95580184,0.21677937,149,46,15
S5_D5,0.94911569,0.19667313,149,46,19
S5_D8,0.96568495,0.23411982,149,46,14
S6_D3,0.98242271,0.30306911,149,46,12
S6_D6,1.00935590,0.25509968,149,46,10
S7_D4,1.00595808,0.27414945,149,46,11
S7_D6,1.01276433,0.27570924,149,46,9
S7_D7,0.91812158,0.27193314,149,46,23
S8_D5,0.93826425,0.26175976,149,46,21
S8_D7,1.10383272,0.43391395,149,46,1
S8_D8,0.95358503,0.07651158,149,46,16
