channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.98500824,0.14914511,88,49,18
S1_D3,0.99663001,0.14936134,88,49,15
S2_D2,0.95569074,0.10658213,88,49,23
S2_D1,1.01236856,0.18158500,88,49,7
S2_D5,1.00030732,0.11580250,88,49,13
S3_D1,1.03306186,0.18166050,88,49,2
S3_D3,1.01958287,0.17423649,88,49,4
S3_D4,0.95888776,0.10373748,88,49,22
S3_D6,1.01209772,0.12745252,88,49,8
S4_D4,1.04413640,0.13849765,88,49,1
S4_D5,1.00892162,0.17052308,88,49,11
S4_D7,1.00897300,0.13445611,88,49,10
S5_D2,0.98463947,0.12120098,88,49,19
S5_D5,1.01493382,0.17217192,88,49,6
S5_D8,1.01801765,0.18722625,88,49,5
S6_D3,0.99760175,0.11811378,88,49,14
S6_D6,0.98739201,0.21494763,88,49,17
S7_D4,1.02624488,0.15054944,88,49,3
S7_D6,1.00099862,0.12889794,88,49,12
S7_D7,0.97034448,0.13116381,88,49,20
S8_D5,0.96166331,0.10798831,88,49,21
S8_D7,1.01008511,0.16346972,88,49,9
S8_D8,0.99241316,0.07374448,88,49,16
