channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.16144669,0.63311452,88,52,2
S1_D3,0.99060684,0.39380285,88,52,11
S2_D2,1.01979136,0.46296334,88,52,7
S2_D1,1.13126051,0.59630215,88,52,3
S2_D5,0.89868790,0.28397653,88,52,23
S3_D1,0.99869621,0.42010841,88,52,10
S3_D3,0.98421150,0.33123586,88,52,13
S3_D4,0.94601178,0.30733907,88,52,16
S3_D6,0.94285238,0.31955376,88,52,18
S4_D4,0.99041992,0.34573528,88,52,12
S4_D5,0.94866049,0.29836333,88,52,15
S4_D7,0.91819859,0.28037784,88,52,21
S5_D2,0.90822709,0.23958471,88,52,22
S5_D5,0.95460689,0.27165964,88,52,14
S5_D8,0.93417072,0.30423301,88,52,19
S6_D3,1.03049111,0.43065748,88,52,6
S6_D6,1.08368015,0.49175304,88,52,4
S7_D4,1.01949871,0.44498521,88,52,8
S7_D6,1.03836703,0.44503319,88,52,5
S7_D7,0.92067254,0.29116610,88,52,20
S8_D5,1.01780105,0.58472717,88,52,9
S8_D7,1.21620393,0.66624695,88,52,1
S8_D8,0.94543719,0.10268316,88,52,17
