channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.03392243,0.35947922,88,49,4
S1_D3,0.93604016,0.23920399,88,49,19
S2_D2,0.95653808,0.21393536,88,49,15
S2_D1,1.07124925,0.39783573,88,49,1
S2_D5,0.94714123,0.23540705,88,49,18
S3_D1,1.02633214,0.40108439,88,49,5
S3_D3,1.05994129,0.46287692,88,49,2
S3_D4,0.96419930,0.28111067,88,49,11
S3_D6,0.95614314,0.33306298,88,49,16
S4_D4,0.93018186,0.18733878,88,49,20
S4_D5,1.00918353,0.32838750,88,49,6
S4_D7,0.95658469,0.24146748,88,49,14
S5_D2,1.00084424,0.32936677,88,49,7
S5_D5,0.97017491,0.35031784,88,49,9
S5_D8,0.92850858,0.20228000,88,49,21
S6_D3,0.92230994,0.18220834,88,49,22
S6_D6,0.96288586,0.27550063,88,49,12
S7_D4,0.96952307,0.28577462,88,49,10
S7_D6,0.89034802,0.15355475,88,49,23
S7_D7,0.99192929,0.26909143,88,49,8
S8_D5,0.95420277,0.33112913,88,49,17
S8_D7,0.95770550,0.22598776,88,49,13
S8_D8,1.05263352,0.37754488,88,49,3
