channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.14400205,0.05084433,102,55,8
S1_D3,0.16315743,0.05270828,102,55,1
S2_D2,0.13433479,0.01547072,102,55,15
S2_D1,0.15043978,0.05100522,102,55,3
S2_D5,0.12296170,0.04072105,102,55,23
S3_D1,0.14672555,0.05111378,102,55,6
S3_D3,0.13032793,0.00859913,102,55,19
S3_D4,0.13408324,0.04589120,102,55,16
S3_D6,0.14397672,0.05208050,102,55,9
S4_D4,0.12979335,0.05415427,102,55,20
S4_D5,0.13479333,0.05774672,102,55,14
S4_D7,0.14635383,0.08792074,102,55,7
S5_D2,0.13876775,0.03705043,102,55,11
S5_D5,0.13698825,0.00944009,102,55,12
S5_D8,0.12538543,0.00962079,102,55,22
S6_D3,0.15284123,0.01180479,102,55,2
S6_D6,0.12840101,0.01018233,102,55,21
S7_D4,0.14689849,0.04585355,102,55,5
S7_D6,0.14279781,0.01227233,102,55,10
S7_D7,0.13490692,0.01025070,102,55,13
S8_D5,0.14872876,0.01098512,102,55,4
S8_D7,0.13275588,0.01301225,102,55,18
S8_D8,0.13282040,0.01003863,102,55,17
