channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.03082025,0.35596284,97,56,6
S1_D3,1.04210472,0.41989496,97,56,4
S2_D2,1.03475595,0.33082128,97,56,5
S2_D1,0.99966824,0.40390900,97,56,11
S2_D5,0.91549504,0.28131348,97,56,21
S3_D1,0.91446203,0.36015436,97,56,22
S3_D3,1.00674307,0.32806420,97,56,10
S3_D4,0.98938328,0.33611557,97,56,14
S3_D6,0.98638171,0.22552583,97,56,15
S4_D4,1.23428154,0.39185974,97,56,1
S4_D5,1.08479905,0.43354189,97,56,2
S4_D7,0.93332785,0.29101205,97,56,20
S5_D2,0.98987585,0.27429205,97,56,13
S5_D5,1.01768255,0.28261781,97,56,7
S5_D8,0.97566664,0.23949313,97,56,16
S6_D3,0.96996272,0.36034769,97,56,17
S6_D6,0.99607742,0.38765526,97,56,12
S7_D4,1.01737976,0.33679229,97,56,8
S7_D6,0.95942169,0.35545868,97,56,19
S7_D7,0.84540039,0.17605613,97,56,23
S8_D5,1.00676155,0.45382977,97,56,9
S8_D7,1.08439374,0.48280871,97,56,3
S8_D8,0.96515524,0.09503634,97,56,18
