channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S6_D3,0.16602363,0.17679557,177,1
S1_D3,S8_D7,0.16110662,0.15668204,177,2
S2_D2,S7_D4,0.15999070,0.14799535,177,3
S2_D2,S8_D7,0.15976539,0.15049051,177,4
S2_D2,S8_D5,0.15961924,0.14377739,177,5
S4_D7,S5_D5,0.15918770,0.16767377,177,6
S2_D1,S5_D5,0.15832989,0.14440447,177,7
S3_D4,S6_D3,0.15809964,0.13923709,177,8
S4_D4,S5_D5,0.15802351,0.15524453,177,9
S6_D3,S8_D8,0.15787022,0.15228987,177,10
S2_D2,S3_D6,0.15770893,0.14171965,177,11
S2_D5,S3_D6,0.15760167,0.16234371,177,12
S4_D4,S7_D4,0.15720806,0.14370561,177,13
S4_D5,S4_D7,0.15705284,0.14629635,177,14
S2_D2,S4_D4,0.15703739,0.16509122,177,15
S2_D5,S3_D1,0.15674457,0.14952894,177,16
S3_D4,S3_D6,0.15638371,0.13521422,177,17
S3_D6,S6_D6,0.15609841,0.14863379,177,18
S4_D4,S4_D5,0.15606745,0.14919566,177,19
S2_D2,S3_D3,0.15592064,0.15731482,177,20
S5_D8,S7_D4,0.15571353,0.15032053,177,21
S4_D4,S7_D7,0.15549637,0.14417808,177,22
S2_D5,S4_D4,0.15542777,0.14790198,177,23
S3_D3,S6_D6,0.15534571,0.13214912,177,24
S3_D6,S5_D8,0.15501682,0.14662160,177,25
S2_D2,S5_D2,0.15479374,0.14760682,177,26
S1_D1,S1_D3,0.15450124,0.16433686,177,27
S3_D4,S6_D6,0.15439223,0.13203055,177,28
S5_D5,S8_D8,0.15437356,0.16361241,177,29
S1_D3,S7_D6,0.15426734,0.14401504,177,30
S2_D2,S5_D5,0.15417609,0.16325249,177,31
S4_D5,S8_D8,0.15411249,0.14558971,177,32
S1_D3,S2_D2,0.15391035,0.14271592,177,33
S2_D1,S5_D8,0.15387830,0.14690728,177,34
S5_D8,S8_D8,0.15367527,0.14953788,177,35
S2_D2,S6_D3,0.15351036,0.15169060,177,36
S3_D4,S7_D4,0.15331452,0.14945152,177,37
S1_D1,S2_D1,0.15318909,0.13853990,177,38
S2_D5,S5_D5,0.15307596,0.14514948,177,39
S2_D2,S3_D4,0.15299900,0.14726804,177,40
S3_D3,S7_D6,0.15298755,0.13242748,177,41
S3_D6,S7_D4,0.15284117,0.13594784,177,42
S3_D3,S6_D3,0.15279201,0.15094909,177,43
S4_D5,S5_D8,0.15250458,0.14195375,177,44
S3_D3,S3_D4,0.15249799,0.14465243,177,45
S7_D7,S8_D7,0.15220979,0.15477908,177,46
S1_D1,S5_D2,0.15193786,0.15674138,177,47
S2_D1,S4_D5,0.15193702,0.14672394,177,48
S2_D5,S6_D3,0.15193646,0.15063189,177,49
S2_D2,S2_D1,0.15184312,0.15392771,177,50
