channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.16453347,0.12118790,177,56,15
S1_D3,0.19918141,0.16148934,177,56,1
S2_D2,0.17175043,0.16353711,177,56,11
S2_D1,0.17394204,0.12216609,177,56,9
S2_D5,0.16126339,0.16243540,177,56,16
S3_D1,0.18302634,0.15780011,177,56,5
S3_D3,0.15353553,0.08960304,177,56,22
S3_D4,0.15907344,0.13337229,177,56,19
S3_D6,0.18604641,0.16308571,177,56,4
S4_D4,0.17043735,0.14815263,177,56,12
S4_D5,0.15343690,0.11813343,177,56,23
S4_D7,0.19084091,0.16731499,177,56,2
S5_D2,0.16799138,0.12646407,177,56,13
S5_D5,0.17191146,0.13877387,177,56,10
S5_D8,0.15613353,0.13139886,177,56,21
S6_D3,0.18176775,0.12726155,177,56,7
S6_D6,0.16120949,0.13561113,177,56,17
S7_D4,0.18005551,0.15934192,177,56,8
S7_D6,0.18234421,0.15573077,177,56,6
S7_D7,0.16536224,0.12638342,177,56,14
S8_D5,0.18703601,0.14865480,177,56,3
S8_D7,0.15854144,0.12332915,177,56,20
S8_D8,0.16012527,0.11874231,177,56,18
