ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,R,4.18694591,4,4.00000000
Brodmann.8,L,4.07527734,4,4.00000000
Brodmann.9,R,4.02262264,4,4.00000000
Brodmann.10,R,3.17270183,3,3.00000000
Brodmann.9,L,3.10492266,3,3.00000000
Brodmann.46,R,2.07397556,2,2.00000000
Brodmann.10,L,2.01403582,2,2.00000000
Brodmann.46,L,1.00688887,1,1.00000000
