ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.01013087,4,4.00000000
Brodmann.8,R,4.00923210,4,4.00000000
Brodmann.8,L,3.99442870,4,4.00000000
Brodmann.9,L,3.01401895,3,3.00000000
Brodmann.10,R,2.98723757,3,3.00000000
Brodmann.10,L,2.00195247,2,2.00000000
Brodmann.46,R,1.99843156,2,2.00000000
Brodmann.46,L,0.98456746,1,1.00000000
