channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.26063311,0.45176819,149,46,11
S1_D3,1.16059017,0.37012553,149,46,23
S2_D2,1.30857694,0.45323426,149,46,4
S2_D1,1.36829853,0.50268066,149,46,2
S2_D5,1.26475060,0.45445338,149,46,9
S3_D1,1.29512620,0.48462757,149,46,6
S3_D3,1.31133926,0.42649162,149,46,3
S3_D4,1.22912312,0.41255447,149,46,16
S3_D6,1.20949471,0.41793352,149,46,18
S4_D4,1.26062965,0.47338179,149,46,12
S4_D5,1.23453605,0.32876745,149,46,15
S4_D7,1.17573464,0.32568237,149,46,21
S5_D2,1.37321746,0.51649833,149,46,1
S5_D5,1.29035175,0.43484980,149,46,7
S5_D8,1.26149750,0.41958749,149,46,10
S6_D3,1.30172074,0.44411770,149,46,5
S6_D6,1.25848889,0.45320746,149,46,13
S7_D4,1.20336866,0.32748985,149,46,19
S7_D6,1.17367899,0.44485563,149,46,22
S7_D7,1.23559499,0.39252353,149,46,14
S8_D5,1.21856999,0.40753606,149,46,17
S8_D7,1.18306124,0.30487189,149,46,20
S8_D8,1.26884413,0.39827856,149,46,8
