ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,4.00916457,4,4.00000000
Brodmann.9,R,4.00233847,4,4.00000000
Brodmann.8,R,3.99969858,4,4.00000000
Brodmann.9,L,3.00935042,3,3.00000000
Brodmann.10,R,2.97842204,3,3.00000000
Brodmann.46,R,2.00385434,2,2.00000000
Brodmann.10,L,2.00338936,2,2.00000000
Brodmann.46,L,0.99378192,1,1.00000000
