ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,0.72522761,4,4.00000000
Brodmann.8,R,0.68712814,4,4.00000000
Brodmann.9,R,0.67993049,4,4.00000000
Brodmann.10,R,0.49772481,3,3.00000000
Brodmann.9,L,0.47152085,3,3.00000000
Brodmann.10,L,0.36489999,2,2.00000000
Brodmann.46,R,0.30743666,2,2.00000000
Brodmann.46,L,0.18441714,1,1.00000000
