channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.23822582,0.45282200,88,52,4
S1_D3,0.98024106,0.35195547,88,52,23
S2_D2,1.14803267,0.51752466,88,52,11
S2_D1,1.34785068,0.62011307,88,52,1
S2_D5,1.02895856,0.34023151,88,52,20
S3_D1,1.08388138,0.39513925,88,52,14
S3_D3,1.24497998,0.61958462,88,52,3
S3_D4,1.15782654,0.47490445,88,52,8
S3_D6,1.05929303,0.34534380,88,52,18
S4_D4,1.09860659,0.43676603,88,52,13
S4_D5,1.05439460,0.40780216,88,52,19
S4_D7,1.15047491,0.49607930,88,52,10
S5_D2,1.25727355,0.59663892,88,52,2
S5_D5,1.01716816,0.32239604,88,52,22
S5_D8,1.14330459,0.47508568,88,52,12
S6_D3,1.08188164,0.48743334,88,52,15
S6_D6,1.07707357,0.38504449,88,52,17
S7_D4,1.19281721,0.52213240,88,52,6
S7_D6,1.07891214,0.52065849,88,52,16
S7_D7,1.15412664,0.52397847,88,52,9
S8_D5,1.02556908,0.40054950,88,52,21
S8_D7,1.18690228,0.47282982,88,52,7
S8_D8,1.22727132,0.47116968,88,52,5
