channel_i,channel_j,mean,std,n_trials,rank
S3_D4,S3_D6,0.13093653,0.02824504,97,1
S4_D5,S4_D7,0.13017564,0.03393743,97,2
S3_D4,S6_D6,0.12842117,0.02790863,97,3
S4_D4,S6_D3,0.12689050,0.03200767,97,4
S4_D4,S5_D5,0.12610698,0.02560802,97,5
S3_D6,S6_D6,0.12593281,0.02817143,97,6
S4_D4,S4_D5,0.12569913,0.02333924,97,7
S2_D5,S5_D8,0.12556644,0.02689660,97,8
S2_D2,S3_D6,0.12541117,0.02962408,97,9
S6_D6,S7_D6,0.12493208,0.02444718,97,10
S3_D3,S7_D4,0.12462067,0.01983538,97,11
S4_D5,S7_D4,0.12444187,0.01951216,97,12
S3_D4,S6_D3,0.12433354,0.02209845,97,13
S8_D5,S8_D8,0.12428213,0.02171307,97,14
S7_D4,S7_D6,0.12409547,0.02714671,97,15
S2_D5,S7_D6,0.12408242,0.02567400,97,16
S5_D8,S8_D8,0.12366892,0.02768189,97,17
S2_D5,S3_D6,0.12361838,0.02456087,97,18
S8_D7,S8_D8,0.12345450,0.02544760,97,19
S3_D3,S3_D4,0.12343866,0.01877846,97,20
S4_D4,S4_D7,0.12324539,0.01930963,97,21
S4_D7,S5_D5,0.12322897,0.02653686,97,22
S3_D3,S6_D6,0.12309688,0.02312690,97,23
S4_D4,S8_D8,0.12274889,0.02411008,97,24
S5_D2,S8_D8,0.12274519,0.02660097,97,25
S6_D6,S8_D8,0.12253764,0.02677860,97,26
S2_D2,S8_D7,0.12233744,0.03731675,97,27
S2_D1,S5_D5,0.12230521,0.02534808,97,28
S4_D4,S7_D7,0.12228006,0.02107162,97,29
S3_D3,S4_D4,0.12218920,0.02810446,97,30
S2_D2,S7_D4,0.12216502,0.02525462,97,31
S5_D5,S7_D4,0.12194233,0.02027551,97,32
S4_D4,S7_D4,0.12192470,0.01989172,97,33
S4_D5,S5_D5,0.12190764,0.02364921,97,34
S2_D1,S5_D2,0.12185938,0.02006577,97,35
S3_D6,S7_D6,0.12185775,0.02025719,97,36
S6_D3,S7_D7,0.12179781,0.02215401,97,37
S1_D1,S2_D1,0.12179372,0.03431893,97,38
S7_D4,S8_D8,0.12170579,0.02475569,97,39
S4_D7,S7_D7,0.12165327,0.01972793,97,40
S3_D3,S7_D6,0.12155071,0.02535778,97,41
S3_D3,S7_D7,0.12143803,0.02567792,97,42
S4_D5,S7_D6,0.12143448,0.02656443,97,43
S5_D5,S5_D8,0.12138032,0.01599254,97,44
S4_D4,S8_D7,0.12123795,0.02561635,97,45
S3_D4,S4_D4,0.12102172,0.02295154,97,46
S1_D1,S4_D5,0.12085792,0.02283473,97,47
S5_D5,S8_D5,0.12068833,0.01725710,97,48
S2_D2,S3_D3,0.12064681,0.02393690,97,49
S2_D5,S3_D4,0.12057162,0.02781678,97,50
