channel_i,channel_j,mean,std,n_trials,rank
S4_D5,S4_D7,0.12737499,0.03811841,95,1
S3_D4,S3_D6,0.12716781,0.03501862,95,2
S4_D4,S4_D5,0.12264618,0.02872129,95,3
S3_D4,S6_D6,0.12236871,0.03710128,95,4
S4_D4,S6_D3,0.12191760,0.03890882,95,5
S3_D3,S7_D4,0.12149611,0.02738158,95,6
S3_D6,S6_D6,0.12134501,0.03185427,95,7
S4_D4,S5_D5,0.12127758,0.03138131,95,8
S2_D5,S3_D6,0.12054314,0.03038378,95,9
S2_D5,S5_D8,0.12031870,0.03423061,95,10
S5_D2,S8_D8,0.11943895,0.03392860,95,11
S3_D3,S3_D4,0.11916824,0.02598808,95,12
S2_D2,S3_D6,0.11914157,0.04109775,95,13
S7_D4,S7_D6,0.11910194,0.03191585,95,14
S5_D8,S8_D8,0.11902214,0.03177353,95,15
S2_D2,S8_D7,0.11890575,0.03933208,95,16
S4_D4,S4_D7,0.11855029,0.02705873,95,17
S4_D4,S7_D7,0.11845703,0.02569976,95,18
S2_D5,S7_D6,0.11802016,0.03356048,95,19
S7_D4,S8_D8,0.11795650,0.03011458,95,20
S2_D1,S5_D2,0.11787284,0.02762411,95,21
S4_D5,S5_D5,0.11772653,0.02912910,95,22
S4_D5,S5_D8,0.11743766,0.03153927,95,23
S2_D5,S4_D7,0.11721390,0.03186458,95,24
S3_D3,S6_D6,0.11721120,0.02741728,95,25
S3_D3,S7_D6,0.11715084,0.03137243,95,26
S8_D5,S8_D8,0.11713188,0.03326843,95,27
S4_D7,S5_D5,0.11708007,0.03433036,95,28
S3_D1,S6_D6,0.11703306,0.03759654,95,29
S4_D4,S8_D8,0.11693219,0.03231899,95,30
S2_D1,S5_D5,0.11692182,0.03476798,95,31
S5_D2,S7_D4,0.11690604,0.03184954,95,32
S4_D5,S7_D4,0.11687830,0.02929160,95,33
S5_D5,S7_D4,0.11674026,0.02672240,95,34
S1_D1,S4_D5,0.11670800,0.02823248,95,35
S4_D7,S8_D7,0.11668431,0.02702394,95,36
S3_D6,S7_D4,0.11668091,0.02815479,95,37
S1_D3,S7_D4,0.11658513,0.03613623,95,38
S8_D7,S8_D8,0.11653310,0.03377585,95,39
S3_D4,S4_D4,0.11651758,0.02642498,95,40
S3_D6,S7_D6,0.11642250,0.02559804,95,41
S3_D3,S4_D4,0.11641151,0.03709216,95,42
S3_D4,S4_D7,0.11640415,0.03243477,95,43
S4_D7,S5_D8,0.11631914,0.03112326,95,44
S4_D7,S8_D5,0.11629315,0.02859479,95,45
S2_D5,S3_D1,0.11627226,0.03010168,95,46
S4_D4,S5_D8,0.11627175,0.03331219,95,47
S1_D1,S2_D1,0.11624214,0.03983900,95,48
S2_D2,S7_D4,0.11619244,0.03325710,95,49
S5_D5,S6_D3,0.11618362,0.03747728,95,50
