channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13747381,0.01072224,95,54,12
S1_D3,0.15864275,0.03321915,95,54,1
S2_D2,0.14200416,0.05551871,95,54,8
S2_D1,0.14240208,0.01069800,95,54,7
S2_D5,0.12041000,0.01828120,95,54,23
S3_D1,0.15735343,0.08512240,95,54,2
S3_D3,0.12961695,0.00857600,95,54,18
S3_D4,0.12898836,0.01077521,95,54,19
S3_D6,0.15503213,0.08594757,95,54,3
S4_D4,0.13043514,0.04730602,95,54,16
S4_D5,0.12144317,0.00878166,95,54,22
S4_D7,0.14567040,0.08020161,95,54,6
S5_D2,0.13386525,0.01147517,95,54,14
S5_D5,0.13680276,0.00897160,95,54,13
S5_D8,0.12544924,0.00867164,95,54,21
S6_D3,0.15134028,0.01090445,95,54,5
S6_D6,0.12874891,0.00950340,95,54,20
S7_D4,0.14178364,0.01340061,95,54,9
S7_D6,0.14136580,0.01108032,95,54,10
S7_D7,0.13827747,0.02495188,95,54,11
S8_D5,0.15204304,0.02994895,95,54,4
S8_D7,0.13019985,0.00942047,95,54,17
S8_D8,0.13294813,0.00929009,95,54,15
