channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.02336002,0.04808536,163,47,1
S1_D3,0.01596253,0.02711120,163,47,7
S2_D2,0.01217899,0.01668757,163,47,22
S2_D1,0.01887846,0.03700930,163,47,2
S2_D5,0.01457234,0.02393188,163,47,15
S3_D1,0.01178608,0.01621337,163,47,23
S3_D3,0.01478260,0.02184751,163,47,14
S3_D4,0.01446635,0.02090744,163,47,17
S3_D6,0.01231959,0.02336159,163,47,21
S4_D4,0.01569590,0.02993576,163,47,8
S4_D5,0.01568873,0.02429703,163,47,9
S4_D7,0.01437569,0.02199075,163,47,18
S5_D2,0.01643172,0.02874172,163,47,6
S5_D5,0.01541404,0.02000923,163,47,12
S5_D8,0.01561909,0.02354782,163,47,11
S6_D3,0.01765977,0.03710199,163,47,3
S6_D6,0.01668237,0.02623830,163,47,5
S7_D4,0.01370088,0.01864588,163,47,20
S7_D6,0.01399771,0.02514826,163,47,19
S7_D7,0.01564717,0.02768576,163,47,10
S8_D5,0.01534902,0.02448224,163,47,13
S8_D7,0.01725470,0.02788651,163,47,4
S8_D8,0.01450315,0.02433056,163,47,16
