ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,0.62106129,4,4.00000000
Brodmann.8,R,0.57792499,4,4.00000000
Brodmann.9,R,0.56204910,4,4.00000000
Brodmann.10,R,0.43256856,3,3.00000000
Brodmann.9,L,0.41475813,3,3.00000000
Brodmann.10,L,0.30651278,2,2.00000000
Brodmann.46,R,0.26490349,2,2.00000000
Brodmann.46,L,0.15316209,1,1.00000000
