window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02504147,0.00316464
1,0.80000001,2.40000010,0.02560347,0.00416073
2,1.60000002,3.20000005,0.02574940,0.00451939
3,2.40000010,4.00000000,0.02559517,0.00464168
4,3.20000005,4.80000019,0.02575965,0.00430091
5,4.00000000,5.59999990,0.02604597,0.00399325
6,4.80000019,6.40000010,0.02591485,0.00377575
7,5.59999990,7.19999981,0.02574940,0.00379894
8,6.40000010,8.00000000,0.02569298,0.00395579
9,7.19999981,8.80000019,0.02563228,0.00347719
10,8.00000000,9.60000038,0.02584480,0.00371521
11,8.80000019,10.39999962,0.02584688,0.00387532
12,9.60000038,11.19999981,0.02576340,0.00366176
13,10.39999962,12.00000000,0.02572986,0.00366182
14,11.19999981,12.80000019,0.02550940,0.00360191
15,12.00000000,13.60000038,0.02576543,0.00373582
16,12.80000019,14.39999962,0.02593343,0.00374907
17,13.60000038,15.19999981,0.02540588,0.00345274
18,14.39999962,16.00000000,0.02547222,0.00314580
19,15.19999981,16.79999924,0.02562588,0.00316978
20,16.00000000,17.60000038,0.02562232,0.00333073
21,16.79999924,18.39999962,0.02549850,0.00343409
22,17.60000038,19.20000076,0.02578903,0.00398755
23,18.39999962,20.00000000,0.02596960,0.00428827
24,19.20000076,20.79999924,0.02556348,0.00404844
25,20.00000000,21.60000038,0.02571466,0.00383822
26,20.79999924,22.39999962,0.02554796,0.00367614
27,21.60000038,23.20000076,0.02551707,0.00360875
28,22.39999962,24.00000000,0.02576288,0.00363256
29,23.20000076,24.79999924,0.02588405,0.00339726
30,24.00000000,25.60000038,0.02571315,0.00283292
31,24.79999924,26.39999962,0.02560083,0.00312254
32,25.60000038,27.20000076,0.02580354,0.00305847
33,26.39999962,28.00000000,0.02557183,0.00300111
34,27.20000076,28.79999924,0.02507252,0.00367935
35,28.00000000,29.60000038,0.02541624,0.00383775
36,28.79999924,30.39999962,0.02544337,0.00469610
37,29.60000038,31.20000076,0.02555257,0.00537540
38,30.39999962,32.00000000,0.02527461,0.00555418
