channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00742257,0.06112885,184,55,7
S1_D3,0.99278629,0.04579939,184,55,18
S2_D2,1.00803947,0.04659732,184,55,6
S2_D1,0.97925186,0.08789781,184,55,23
S2_D5,1.00498545,0.04681207,184,55,10
S3_D1,1.00918293,0.03927319,184,55,3
S3_D3,1.00878382,0.04482052,184,55,4
S3_D4,0.99813336,0.04890285,184,55,15
S3_D6,0.99972016,0.03827525,184,55,13
S4_D4,0.99406099,0.05861693,184,55,17
S4_D5,0.98623115,0.06218670,184,55,22
S4_D7,0.99980670,0.05309863,184,55,12
S5_D2,0.99503553,0.04463971,184,55,16
S5_D5,1.00998700,0.03725417,184,55,2
S5_D8,0.99935418,0.03474005,184,55,14
S6_D3,0.98840910,0.04696067,184,55,20
S6_D6,0.98789299,0.05689403,184,55,21
S7_D4,1.00453305,0.04492300,184,55,11
S7_D6,1.00526226,0.04920692,184,55,9
S7_D7,1.00655687,0.03687319,184,55,8
S8_D5,1.00838745,0.04677273,184,55,5
S8_D7,1.01397002,0.05207775,184,55,1
S8_D8,0.99220717,0.05206545,184,55,19
