channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.03882750,0.05690650,97,56,17
S1_D3,0.04716695,0.07018525,97,56,13
S2_D2,0.04280129,0.04660383,97,56,15
S2_D1,0.07904686,0.20423934,97,56,1
S2_D5,0.03642040,0.04887412,97,56,19
S3_D1,0.02975608,0.03910966,97,56,23
S3_D3,0.04025800,0.05228003,97,56,16
S3_D4,0.05517735,0.08017920,97,56,9
S3_D6,0.03206707,0.04914518,97,56,22
S4_D4,0.04385091,0.05846641,97,56,14
S4_D5,0.05529017,0.10347340,97,56,8
S4_D7,0.07276602,0.23678350,97,56,3
S5_D2,0.03668419,0.04564694,97,56,18
S5_D5,0.04793769,0.10243140,97,56,12
S5_D8,0.05996587,0.09979869,97,56,5
S6_D3,0.03287413,0.05400176,97,56,21
S6_D6,0.05937854,0.10889573,97,56,6
S7_D4,0.07673623,0.14634904,97,56,2
S7_D6,0.05836268,0.16495046,97,56,7
S7_D7,0.06852485,0.16236335,97,56,4
S8_D5,0.03499644,0.04126332,97,56,20
S8_D7,0.04973462,0.07765337,97,56,11
S8_D8,0.05416070,0.09023966,97,56,10
