ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.01581901,4,4.00000000
Brodmann.8,R,4.00952839,4,4.00000000
Brodmann.8,L,3.99755686,4,4.00000000
Brodmann.9,L,3.00392788,3,3.00000000
Brodmann.10,R,2.97152883,3,3.00000000
Brodmann.46,R,2.00815248,2,2.00000000
Brodmann.10,L,2.00762957,2,2.00000000
Brodmann.46,L,0.98585725,1,1.00000000
