window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02502296,0.00403154
1,0.80000001,2.40000010,0.02472210,0.00354925
2,1.60000002,3.20000005,0.02475941,0.00345698
3,2.40000010,4.00000000,0.02483295,0.00370129
4,3.20000005,4.80000019,0.02537192,0.00357312
5,4.00000000,5.59999990,0.02536917,0.00333186
6,4.80000019,6.40000010,0.02512455,0.00330331
7,5.59999990,7.19999981,0.02536204,0.00303557
8,6.40000010,8.00000000,0.02598833,0.00309296
9,7.19999981,8.80000019,0.02562318,0.00294563
10,8.00000000,9.60000038,0.02559766,0.00320013
11,8.80000019,10.39999962,0.02559546,0.00365974
12,9.60000038,11.19999981,0.02572344,0.00395247
13,10.39999962,12.00000000,0.02530528,0.00363887
14,11.19999981,12.80000019,0.02502849,0.00376197
15,12.00000000,13.60000038,0.02533371,0.00345266
16,12.80000019,14.39999962,0.02503276,0.00326937
17,13.60000038,15.19999981,0.02528143,0.00266899
18,14.39999962,16.00000000,0.02558245,0.00316879
19,15.19999981,16.79999924,0.02548271,0.00338825
20,16.00000000,17.60000038,0.02598421,0.00336992
21,16.79999924,18.39999962,0.02573113,0.00302572
22,17.60000038,19.20000076,0.02556697,0.00298358
23,18.39999962,20.00000000,0.02549787,0.00288727
24,19.20000076,20.79999924,0.02571917,0.00324422
25,20.00000000,21.60000038,0.02546640,0.00320163
26,20.79999924,22.39999962,0.02565047,0.00300649
27,21.60000038,23.20000076,0.02567783,0.00240605
28,22.39999962,24.00000000,0.02594585,0.00256424
29,23.20000076,24.79999924,0.02588071,0.00255599
30,24.00000000,25.60000038,0.02628514,0.00285319
31,24.79999924,26.39999962,0.02654014,0.00314394
32,25.60000038,27.20000076,0.02615649,0.00322014
33,26.39999962,28.00000000,0.02617931,0.00307413
34,27.20000076,28.79999924,0.02623384,0.00295724
35,28.00000000,29.60000038,0.02611146,0.00302569
36,28.79999924,30.39999962,0.02626721,0.00361457
37,29.60000038,31.20000076,0.02639835,0.00379960
38,30.39999962,32.00000000,0.02656746,0.00411923
