channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99969977,0.06337607,172,54,13
S1_D3,0.99512064,0.04432515,172,54,17
S2_D2,1.00379860,0.05242276,172,54,10
S2_D1,0.97401279,0.08152594,172,54,23
S2_D5,0.99588174,0.05394521,172,54,15
S3_D1,1.00100493,0.04561995,172,54,12
S3_D3,1.00895834,0.04989814,172,54,5
S3_D4,0.99393606,0.04810551,172,54,18
S3_D6,0.99535757,0.03922696,172,54,16
S4_D4,0.99335265,0.04814564,172,54,19
S4_D5,0.98148906,0.06000025,172,54,22
S4_D7,1.00323057,0.05101370,172,54,11
S5_D2,1.00392830,0.04832449,172,54,9
S5_D5,1.01445782,0.04617674,172,54,3
S5_D8,1.00753975,0.04132371,172,54,6
S6_D3,0.99069661,0.05232025,172,54,20
S6_D6,0.98501307,0.06352569,172,54,21
S7_D4,1.00527823,0.04451064,172,54,8
S7_D6,1.00539446,0.04630034,172,54,7
S7_D7,1.01791358,0.03869560,172,54,1
S8_D5,1.01588213,0.05561246,172,54,2
S8_D7,1.01000154,0.05439406,172,54,4
S8_D8,0.99805224,0.05113165,172,54,14
