channel_i,channel_j,mean,std,n_trials,rank
S1_D1,S8_D7,0.00052712,0.00309170,162,1
S4_D4,S4_D5,0.00039409,0.00240073,162,2
S2_D1,S4_D5,0.00032422,0.00185458,162,3
S6_D6,S8_D7,0.00022429,0.00223130,162,4
S2_D5,S6_D3,0.00017276,0.00123436,162,5
S1_D1,S2_D1,0.00015230,0.00154462,162,6
S4_D4,S6_D3,0.00012980,0.00207441,162,7
S5_D8,S8_D8,0.00012683,0.00082381,162,8
S2_D1,S3_D3,0.00012070,0.00062552,162,9
S7_D4,S7_D7,0.00010890,0.00082498,162,10
S2_D2,S8_D5,0.00008712,0.00057766,162,11
S6_D3,S8_D8,0.00008464,0.00089433,162,12
S1_D3,S5_D2,0.00007653,0.00068910,162,13
S2_D1,S5_D2,0.00007450,0.00075841,162,14
S5_D8,S8_D5,0.00007091,0.00091682,162,15
S2_D5,S7_D4,0.00006878,0.00054996,162,16
S2_D1,S6_D6,0.00006450,0.00065552,162,17
S1_D3,S8_D5,0.00005530,0.00105359,162,18
S3_D3,S6_D6,0.00005458,0.00071412,162,19
S2_D2,S2_D1,0.00005112,0.00068098,162,20
S3_D1,S7_D4,0.00005041,0.00065857,162,21
S7_D6,S7_D7,0.00004630,0.00059545,162,22
S3_D6,S6_D3,0.00004450,0.00122274,162,23
S3_D1,S7_D6,0.00004163,0.00147483,162,24
S3_D1,S3_D6,0.00003882,0.00078069,162,25
S2_D2,S8_D7,0.00003591,0.00068569,162,26
S8_D5,S8_D8,0.00003502,0.00061285,162,27
S3_D3,S3_D4,0.00002760,0.00076345,162,28
S4_D7,S7_D4,0.00002587,0.00090310,162,29
S5_D5,S7_D4,0.00002290,0.00164150,162,30
S1_D1,S8_D8,0.00002195,0.00048712,162,31
S3_D1,S4_D4,0.00002146,0.00070548,162,32
S2_D2,S7_D7,0.00002019,0.00054106,162,33
S1_D3,S6_D3,0.00001982,0.00096031,162,34
S4_D5,S4_D7,0.00001797,0.00079410,162,35
S1_D3,S8_D7,0.00001473,0.00045459,162,36
S1_D1,S7_D7,0.00001367,0.00078938,162,37
S6_D3,S8_D7,0.00001288,0.00085134,162,38
S3_D4,S5_D2,0.00001142,0.00070938,162,39
S7_D4,S7_D6,0.00001116,0.00080485,162,40
S7_D4,S8_D7,0.00000836,0.00065689,162,41
S4_D5,S5_D8,0.00000728,0.00101051,162,42
S2_D2,S4_D7,0.00000645,0.00086496,162,43
S2_D5,S4_D4,0.00000201,0.00126074,162,44
S6_D6,S7_D7,0.00000159,0.00062919,162,45
S2_D2,S8_D8,-0.00000006,0.00079518,162,46
S3_D3,S7_D4,-0.00000197,0.00105160,162,47
S2_D5,S4_D5,-0.00000441,0.00073163,162,48
S4_D5,S7_D4,-0.00000474,0.00063683,162,49
S2_D1,S3_D6,-0.00000497,0.00063015,162,50
