ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.24133718,4,4.00000000
Brodmann.8,L,3.95926058,4,4.00000000
Brodmann.8,R,3.82827722,4,4.00000000
Brodmann.10,R,3.02430004,3,3.00000000
Brodmann.9,L,2.91058838,3,3.00000000
Brodmann.10,L,2.07292497,2,2.00000000
Brodmann.46,R,1.99334919,2,2.00000000
Brodmann.46,L,0.96996272,1,1.00000000
