channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.16497682,0.08482058,96,54,15
S1_D3,0.19992317,0.10240765,96,54,2
S2_D2,0.16774757,0.08634523,96,54,11
S2_D1,0.16594097,0.07809875,96,54,13
S2_D5,0.16774546,0.10436776,96,54,12
S3_D1,0.16944659,0.07414509,96,54,9
S3_D3,0.15245575,0.06576460,96,54,20
S3_D4,0.14961851,0.07168384,96,54,21
S3_D6,0.21054943,0.13734879,96,54,1
S4_D4,0.18275109,0.12052257,96,54,7
S4_D5,0.14642335,0.07266522,96,54,22
S4_D7,0.19328925,0.13364579,96,54,3
S5_D2,0.16403627,0.09255759,96,54,16
S5_D5,0.16348927,0.07263105,96,54,17
S5_D8,0.14394739,0.07686383,96,54,23
S6_D3,0.18441714,0.07676964,96,54,4
S6_D6,0.15533806,0.06892915,96,54,19
S7_D4,0.17589368,0.09239709,96,54,8
S7_D6,0.18344644,0.10306973,96,54,5
S7_D7,0.15961468,0.06809979,96,54,18
S8_D5,0.18301059,0.08620028,96,54,6
S8_D7,0.16578472,0.08895203,96,54,14
S8_D8,0.16843949,0.09692374,96,54,10
