channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99573344,0.05545527,187,57,17
S1_D3,0.99721748,0.04866685,187,57,16
S2_D2,1.00773740,0.04192734,187,57,3
S2_D1,0.98040926,0.08735047,187,57,23
S2_D5,1.00589001,0.04088788,187,57,7
S3_D1,1.00569355,0.03782186,187,57,8
S3_D3,1.00701463,0.04120685,187,57,5
S3_D4,0.99372983,0.04557640,187,57,19
S3_D6,0.99968755,0.03401244,187,57,14
S4_D4,1.00089455,0.04682214,187,57,12
S4_D5,0.98693615,0.06203926,187,57,22
S4_D7,0.99992311,0.04084850,187,57,13
S5_D2,1.00277102,0.03804301,187,57,11
S5_D5,1.00938892,0.04138525,187,57,1
S5_D8,1.00496602,0.03747968,187,57,9
S6_D3,0.99462909,0.04443537,187,57,18
S6_D6,0.99162948,0.05392921,187,57,21
S7_D4,1.00628412,0.04268996,187,57,6
S7_D6,1.00859857,0.04143639,187,57,2
S7_D7,1.00423551,0.03525268,187,57,10
S8_D5,1.00704515,0.03653713,187,57,4
S8_D7,0.99773395,0.04825338,187,57,15
S8_D8,0.99185079,0.04327570,187,57,20
