window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02411700,0.00354328
1,0.80000001,2.40000010,0.02394049,0.00407511
2,1.60000002,3.20000005,0.02420861,0.00419766
3,2.40000010,4.00000000,0.02445536,0.00456816
4,3.20000005,4.80000019,0.02461218,0.00430570
5,4.00000000,5.59999990,0.02483694,0.00408797
6,4.80000019,6.40000010,0.02495470,0.00395919
7,5.59999990,7.19999981,0.02485778,0.00383233
8,6.40000010,8.00000000,0.02484208,0.00376628
9,7.19999981,8.80000019,0.02472269,0.00350917
10,8.00000000,9.60000038,0.02492789,0.00345474
11,8.80000019,10.39999962,0.02505703,0.00391233
12,9.60000038,11.19999981,0.02505583,0.00413763
13,10.39999962,12.00000000,0.02518627,0.00432578
14,11.19999981,12.80000019,0.02510374,0.00440437
15,12.00000000,13.60000038,0.02511978,0.00432879
16,12.80000019,14.39999962,0.02561222,0.00458226
17,13.60000038,15.19999981,0.02593525,0.00450696
18,14.39999962,16.00000000,0.02607954,0.00470693
19,15.19999981,16.79999924,0.02604438,0.00434440
20,16.00000000,17.60000038,0.02648401,0.00412127
21,16.79999924,18.39999962,0.02666585,0.00371519
22,17.60000038,19.20000076,0.02649152,0.00365055
23,18.39999962,20.00000000,0.02662726,0.00373196
24,19.20000076,20.79999924,0.02662562,0.00324313
25,20.00000000,21.60000038,0.02682743,0.00339990
26,20.79999924,22.39999962,0.02679639,0.00313677
27,21.60000038,23.20000076,0.02659184,0.00323038
28,22.39999962,24.00000000,0.02657667,0.00351192
29,23.20000076,24.79999924,0.02645971,0.00395839
30,24.00000000,25.60000038,0.02661294,0.00452794
31,24.79999924,26.39999962,0.02651221,0.00471243
32,25.60000038,27.20000076,0.02617363,0.00461776
33,26.39999962,28.00000000,0.02626780,0.00506693
34,27.20000076,28.79999924,0.02607156,0.00526313
35,28.00000000,29.60000038,0.02586651,0.00520024
36,28.79999924,30.39999962,0.02568701,0.00515204
37,29.60000038,31.20000076,0.02545801,0.00521617
38,30.39999962,32.00000000,0.02553427,0.00555608
