channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.03002489,0.04386656,88,52,9
S1_D3,0.03017582,0.08322676,88,52,8
S2_D2,0.03020066,0.06488822,88,52,7
S2_D1,0.06022340,0.18596779,88,52,1
S2_D5,0.01392339,0.02332219,88,52,23
S3_D1,0.01715829,0.02654957,88,52,21
S3_D3,0.03719638,0.08662430,88,52,3
S3_D4,0.03529855,0.07204669,88,52,4
S3_D6,0.01745556,0.02670235,88,52,20
S4_D4,0.03466917,0.07698197,88,52,5
S4_D5,0.02194345,0.03816737,88,52,14
S4_D7,0.02001007,0.03249830,88,52,18
S5_D2,0.02395500,0.03500441,88,52,13
S5_D5,0.01473476,0.02702429,88,52,22
S5_D8,0.03934785,0.10002067,88,52,2
S6_D3,0.01955546,0.03148272,88,52,19
S6_D6,0.02167669,0.02817420,88,52,16
S7_D4,0.02182929,0.03281844,88,52,15
S7_D6,0.02104905,0.04005290,88,52,17
S7_D7,0.02737494,0.05804318,88,52,11
S8_D5,0.02589854,0.06302226,88,52,12
S8_D7,0.03346412,0.06658412,88,52,6
S8_D8,0.02887469,0.04739123,88,52,10
