ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.01315880,4,4.00000000
Brodmann.8,R,4.01298535,4,4.00000000
Brodmann.8,L,3.99544275,4,4.00000000
Brodmann.9,L,3.01705605,3,3.00000000
Brodmann.10,R,2.97790765,3,3.00000000
Brodmann.10,L,2.00132215,2,2.00000000
Brodmann.46,R,2.00020820,2,2.00000000
Brodmann.46,L,0.98191887,1,1.00000000
