channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.17785572,0.09943402,183,57,17
S1_D3,0.21532752,0.14144470,183,57,2
S2_D2,0.18888202,0.14281310,183,57,10
S2_D1,0.19732662,0.13930458,183,57,6
S2_D5,0.18432640,0.15661065,183,57,13
S3_D1,0.19605659,0.14799702,183,57,8
S3_D3,0.16687556,0.11408598,183,57,23
S3_D4,0.17038596,0.11309391,183,57,20
S3_D6,0.21840759,0.16862872,183,57,1
S4_D4,0.18466736,0.14521706,183,57,12
S4_D5,0.17523877,0.12633385,183,57,18
S4_D7,0.20823464,0.17047901,183,57,3
S5_D2,0.18770084,0.14274028,183,57,11
S5_D5,0.17937331,0.10000477,183,57,16
S5_D8,0.16903752,0.10481496,183,57,22
S6_D3,0.20081684,0.13388561,183,57,5
S6_D6,0.16994217,0.10819799,183,57,21
S7_D4,0.18982100,0.13716464,183,57,9
S7_D6,0.19651279,0.14970154,183,57,7
S7_D7,0.18128614,0.12010545,183,57,14
S8_D5,0.20365155,0.15159129,183,57,4
S8_D7,0.18048249,0.13975197,183,57,15
S8_D8,0.17324682,0.10394043,183,57,19
