channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99762756,0.06228383,186,55,14
S1_D3,0.99425215,0.03749456,186,55,17
S2_D2,1.00479102,0.04580885,186,55,6
S2_D1,0.98895085,0.05775471,186,55,22
S2_D5,1.00035620,0.04928709,186,55,12
S3_D1,1.00335932,0.03749340,186,55,9
S3_D3,1.00748646,0.04409935,186,55,5
S3_D4,0.99709105,0.04760552,186,55,15
S3_D6,1.00079262,0.03866231,186,55,11
S4_D4,0.99686384,0.04713770,186,55,16
S4_D5,0.98853332,0.06181081,186,55,23
S4_D7,0.99997693,0.05431046,186,55,13
S5_D2,0.98999780,0.04720770,186,55,21
S5_D5,1.00990939,0.04450740,186,55,3
S5_D8,1.00378168,0.03510974,186,55,8
S6_D3,0.99275321,0.04730228,186,55,19
S6_D6,0.99233526,0.05102977,186,55,20
S7_D4,1.00145280,0.04785924,186,55,10
S7_D6,1.00403655,0.04436443,186,55,7
S7_D7,1.00807977,0.03738943,186,55,4
S8_D5,1.01120484,0.03904108,186,55,2
S8_D7,1.01216280,0.05029766,186,55,1
S8_D8,0.99420428,0.05302199,186,55,18
