window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02490131,0.00394677
1,0.80000001,2.40000010,0.02538124,0.00440188
2,1.60000002,3.20000005,0.02602083,0.00522393
3,2.40000010,4.00000000,0.02676686,0.00525868
4,3.20000005,4.80000019,0.02682156,0.00515621
5,4.00000000,5.59999990,0.02689798,0.00547893
6,4.80000019,6.40000010,0.02661343,0.00498500
7,5.59999990,7.19999981,0.02638587,0.00434629
8,6.40000010,8.00000000,0.02678861,0.00436188
9,7.19999981,8.80000019,0.02662371,0.00417499
10,8.00000000,9.60000038,0.02686042,0.00377319
11,8.80000019,10.39999962,0.02712053,0.00394255
12,9.60000038,11.19999981,0.02678981,0.00467272
13,10.39999962,12.00000000,0.02689980,0.00423038
14,11.19999981,12.80000019,0.02691024,0.00443260
15,12.00000000,13.60000038,0.02702207,0.00426348
16,12.80000019,14.39999962,0.02652109,0.00365834
17,13.60000038,15.19999981,0.02602685,0.00342627
18,14.39999962,16.00000000,0.02592006,0.00349500
19,15.19999981,16.79999924,0.02557691,0.00350381
20,16.00000000,17.60000038,0.02577291,0.00356825
21,16.79999924,18.39999962,0.02557487,0.00309493
22,17.60000038,19.20000076,0.02601260,0.00325276
23,18.39999962,20.00000000,0.02613612,0.00338895
24,19.20000076,20.79999924,0.02553034,0.00347533
25,20.00000000,21.60000038,0.02543886,0.00352110
26,20.79999924,22.39999962,0.02481353,0.00370656
27,21.60000038,23.20000076,0.02463599,0.00409522
28,22.39999962,24.00000000,0.02464323,0.00395253
29,23.20000076,24.79999924,0.02488791,0.00430117
30,24.00000000,25.60000038,0.02448995,0.00406757
31,24.79999924,26.39999962,0.02460584,0.00428140
32,25.60000038,27.20000076,0.02441061,0.00431520
33,26.39999962,28.00000000,0.02408598,0.00462133
34,27.20000076,28.79999924,0.02419308,0.00502265
35,28.00000000,29.60000038,0.02407509,0.00513748
36,28.79999924,30.39999962,0.02412386,0.00540504
37,29.60000038,31.20000076,0.02388774,0.00549545
38,30.39999962,32.00000000,0.02383229,0.00595311
