channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13880941,0.03222743,182,56,13
S1_D3,0.16922060,0.05304187,182,56,2
S2_D2,0.14125657,0.03046230,182,56,11
S2_D1,0.14420430,0.02015502,182,56,8
S2_D5,0.13576645,0.04854045,182,56,16
S3_D1,0.15375142,0.03787639,182,56,6
S3_D3,0.13538264,0.03019339,182,56,18
S3_D4,0.12854889,0.02330648,182,56,21
S3_D6,0.17755933,0.09493230,182,56,1
S4_D4,0.14248180,0.04745610,182,56,10
S4_D5,0.12538147,0.03019589,182,56,23
S4_D7,0.16743074,0.07440536,182,56,3
S5_D2,0.13616945,0.02110768,182,56,14
S5_D5,0.13589309,0.01597696,182,56,15
S5_D8,0.12623711,0.01996289,182,56,22
S6_D3,0.15478067,0.02685585,182,56,5
S6_D6,0.13318859,0.03205476,182,56,20
S7_D4,0.14338593,0.02164102,182,56,9
S7_D6,0.15121521,0.03884218,182,56,7
S7_D7,0.13913095,0.02077268,182,56,12
S8_D5,0.15582241,0.03246444,182,56,4
S8_D7,0.13549386,0.03312328,182,56,17
S8_D8,0.13521977,0.02459461,182,56,19
