window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02488710,0.00356171
1,0.80000001,2.40000010,0.02522156,0.00461303
2,1.60000002,3.20000005,0.02581168,0.00519601
3,2.40000010,4.00000000,0.02620828,0.00567668
4,3.20000005,4.80000019,0.02616179,0.00541454
5,4.00000000,5.59999990,0.02612947,0.00494165
6,4.80000019,6.40000010,0.02617565,0.00487345
7,5.59999990,7.19999981,0.02607481,0.00477144
8,6.40000010,8.00000000,0.02606717,0.00450079
9,7.19999981,8.80000019,0.02588256,0.00429333
10,8.00000000,9.60000038,0.02602351,0.00441645
11,8.80000019,10.39999962,0.02601011,0.00411643
12,9.60000038,11.19999981,0.02588527,0.00395840
13,10.39999962,12.00000000,0.02603924,0.00347273
14,11.19999981,12.80000019,0.02597667,0.00339766
15,12.00000000,13.60000038,0.02618533,0.00319051
16,12.80000019,14.39999962,0.02639988,0.00324237
17,13.60000038,15.19999981,0.02621535,0.00334998
18,14.39999962,16.00000000,0.02615820,0.00342478
19,15.19999981,16.79999924,0.02569443,0.00350110
20,16.00000000,17.60000038,0.02572456,0.00315967
21,16.79999924,18.39999962,0.02570636,0.00291213
22,17.60000038,19.20000076,0.02551801,0.00298406
23,18.39999962,20.00000000,0.02545566,0.00271390
24,19.20000076,20.79999924,0.02502680,0.00263357
25,20.00000000,21.60000038,0.02519242,0.00276558
26,20.79999924,22.39999962,0.02541946,0.00330447
27,21.60000038,23.20000076,0.02532157,0.00363884
28,22.39999962,24.00000000,0.02533747,0.00416111
29,23.20000076,24.79999924,0.02533895,0.00456983
30,24.00000000,25.60000038,0.02539340,0.00510083
31,24.79999924,26.39999962,0.02522260,0.00544489
32,25.60000038,27.20000076,0.02525450,0.00543147
33,26.39999962,28.00000000,0.02522224,0.00526717
34,27.20000076,28.79999924,0.02514865,0.00542659
35,28.00000000,29.60000038,0.02489985,0.00558685
36,28.79999924,30.39999962,0.02497678,0.00584916
37,29.60000038,31.20000076,0.02521897,0.00613309
38,30.39999962,32.00000000,0.02541370,0.00638386
