channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00447226,0.04556570,191,54,10
S1_D3,0.99891710,0.04312784,191,54,13
S2_D2,1.00946712,0.04149043,191,54,2
S2_D1,0.97495955,0.08445185,191,54,23
S2_D5,1.00577831,0.04377995,191,54,5
S3_D1,1.00502384,0.03159970,191,54,7
S3_D3,1.00851846,0.03963000,191,54,3
S3_D4,0.99580812,0.04002790,191,54,18
S3_D6,1.00120711,0.03281230,191,54,12
S4_D4,0.99880904,0.05111572,191,54,14
S4_D5,0.98538888,0.06982195,191,54,22
S4_D7,0.99855870,0.05395383,191,54,15
S5_D2,0.99399537,0.03833090,191,54,19
S5_D5,1.00614274,0.03506548,191,54,4
S5_D8,0.99771160,0.04990711,191,54,16
S6_D3,0.99378192,0.04242798,191,54,20
S6_D6,0.99754727,0.04416902,191,54,17
S7_D4,1.00486231,0.04074433,191,54,8
S7_D6,1.00554788,0.03998003,191,54,6
S7_D7,1.00462961,0.03968314,191,54,9
S8_D5,1.01236224,0.03434744,191,54,1
S8_D7,1.00301993,0.04773148,191,54,11
S8_D8,0.99349034,0.04540486,191,54,21
