window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02522031,0.00330128
1,0.80000001,2.40000010,0.02443307,0.00399183
2,1.60000002,3.20000005,0.02404229,0.00464744
3,2.40000010,4.00000000,0.02421049,0.00497181
4,3.20000005,4.80000019,0.02420282,0.00509234
5,4.00000000,5.59999990,0.02404192,0.00469435
6,4.80000019,6.40000010,0.02407134,0.00423769
7,5.59999990,7.19999981,0.02448165,0.00431302
8,6.40000010,8.00000000,0.02508353,0.00442283
9,7.19999981,8.80000019,0.02539192,0.00450384
10,8.00000000,9.60000038,0.02585041,0.00453901
11,8.80000019,10.39999962,0.02618164,0.00433815
12,9.60000038,11.19999981,0.02641135,0.00399131
13,10.39999962,12.00000000,0.02651512,0.00379780
14,11.19999981,12.80000019,0.02672349,0.00358620
15,12.00000000,13.60000038,0.02664663,0.00338684
16,12.80000019,14.39999962,0.02649241,0.00330821
17,13.60000038,15.19999981,0.02640895,0.00320749
18,14.39999962,16.00000000,0.02646255,0.00343541
19,15.19999981,16.79999924,0.02627693,0.00376741
20,16.00000000,17.60000038,0.02648038,0.00383320
21,16.79999924,18.39999962,0.02642259,0.00388612
22,17.60000038,19.20000076,0.02687026,0.00399670
23,18.39999962,20.00000000,0.02644648,0.00392473
24,19.20000076,20.79999924,0.02596308,0.00398793
25,20.00000000,21.60000038,0.02584065,0.00392349
26,20.79999924,22.39999962,0.02598196,0.00363776
27,21.60000038,23.20000076,0.02571017,0.00364913
28,22.39999962,24.00000000,0.02547699,0.00363157
29,23.20000076,24.79999924,0.02599299,0.00406578
30,24.00000000,25.60000038,0.02589969,0.00382281
31,24.79999924,26.39999962,0.02568875,0.00410574
32,25.60000038,27.20000076,0.02576091,0.00441004
33,26.39999962,28.00000000,0.02568866,0.00469113
34,27.20000076,28.79999924,0.02542551,0.00494005
35,28.00000000,29.60000038,0.02497057,0.00489529
36,28.79999924,30.39999962,0.02562159,0.00541704
37,29.60000038,31.20000076,0.02532638,0.00560342
38,30.39999962,32.00000000,0.02528362,0.00566461
