channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00116062,0.05961617,95,54,10
S1_D3,0.99926883,0.05290814,95,54,14
S2_D2,0.99472719,0.05906228,95,54,17
S2_D1,0.98482901,0.09223051,95,54,22
S2_D5,1.00166678,0.04960678,95,54,9
S3_D1,1.00398386,0.04965742,95,54,8
S3_D3,1.00924158,0.04837838,95,54,5
S3_D4,0.99555063,0.06055214,95,54,16
S3_D6,0.99442172,0.04821543,95,54,18
S4_D4,1.01215374,0.04392852,95,54,2
S4_D5,0.99193037,0.06430026,95,54,20
S4_D7,0.99378765,0.05791486,95,54,19
S5_D2,0.99812406,0.06209866,95,54,15
S5_D5,1.00985503,0.04990791,95,54,4
S5_D8,0.99938279,0.05068648,95,54,13
S6_D3,0.98751825,0.06477266,95,54,21
S6_D6,0.98391902,0.06166496,95,54,23
S7_D4,1.01173925,0.04718373,95,54,3
S7_D6,1.00062609,0.06458452,95,54,11
S7_D7,1.00676584,0.06616805,95,54,7
S8_D5,1.01247227,0.04965467,95,54,1
S8_D7,0.99953490,0.07023957,95,54,12
S8_D8,1.00734019,0.05507240,95,54,6
