window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02655166,0.00627039
1,0.80000001,2.40000010,0.02781396,0.00742339
2,1.60000002,3.20000005,0.02832503,0.00704623
3,2.40000010,4.00000000,0.02889937,0.00764908
4,3.20000005,4.80000019,0.02886257,0.00675336
5,4.00000000,5.59999990,0.02869729,0.00662737
6,4.80000019,6.40000010,0.02855879,0.00649335
7,5.59999990,7.19999981,0.02905243,0.00759463
8,6.40000010,8.00000000,0.02931954,0.00709227
9,7.19999981,8.80000019,0.02859444,0.00655066
10,8.00000000,9.60000038,0.02793719,0.00570600
11,8.80000019,10.39999962,0.02700171,0.00549762
12,9.60000038,11.19999981,0.02655977,0.00479831
13,10.39999962,12.00000000,0.02646988,0.00509492
14,11.19999981,12.80000019,0.02590259,0.00441314
15,12.00000000,13.60000038,0.02604166,0.00448509
16,12.80000019,14.39999962,0.02544791,0.00448079
17,13.60000038,15.19999981,0.02530484,0.00537028
18,14.39999962,16.00000000,0.02512827,0.00589134
19,15.19999981,16.79999924,0.02452157,0.00501263
20,16.00000000,17.60000038,0.02417044,0.00421165
21,16.79999924,18.39999962,0.02359163,0.00422618
22,17.60000038,19.20000076,0.02424178,0.00458343
23,18.39999962,20.00000000,0.02488036,0.00490508
24,19.20000076,20.79999924,0.02453850,0.00537407
25,20.00000000,21.60000038,0.02471747,0.00570627
26,20.79999924,22.39999962,0.02406168,0.00578547
27,21.60000038,23.20000076,0.02391436,0.00543392
28,22.39999962,24.00000000,0.02415692,0.00543121
29,23.20000076,24.79999924,0.02393254,0.00494275
30,24.00000000,25.60000038,0.02375709,0.00468797
31,24.79999924,26.39999962,0.02371856,0.00475326
32,25.60000038,27.20000076,0.02357202,0.00518974
33,26.39999962,28.00000000,0.02336721,0.00541773
34,27.20000076,28.79999924,0.02325105,0.00562263
35,28.00000000,29.60000038,0.02353173,0.00584076
36,28.79999924,30.39999962,0.02384631,0.00609116
37,29.60000038,31.20000076,0.02383515,0.00607770
38,30.39999962,32.00000000,0.02392470,0.00600178
