channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99516624,0.06606288,182,56,18
S1_D3,0.99998611,0.04286998,182,56,13
S2_D2,1.01146233,0.04838091,182,56,1
S2_D1,0.99323022,0.06257248,182,56,20
S2_D5,1.00609457,0.04606547,182,56,6
S3_D1,1.00792491,0.03998696,182,56,4
S3_D3,1.00434792,0.04424201,182,56,7
S3_D4,0.99593490,0.04393777,182,56,16
S3_D6,1.00067234,0.04193847,182,56,12
S4_D4,0.99666262,0.05667610,182,56,15
S4_D5,0.98662663,0.06291289,182,56,22
S4_D7,1.00069845,0.05853460,182,56,11
S5_D2,0.99143732,0.05436083,182,56,21
S5_D5,1.00939500,0.04824670,182,56,3
S5_D8,0.99773490,0.04346520,182,56,14
S6_D3,0.98564303,0.06009649,182,56,23
S6_D6,0.99356127,0.05258363,182,56,19
S7_D4,1.00333130,0.04770189,182,56,8
S7_D6,1.01081252,0.04502988,182,56,2
S7_D7,1.00255752,0.04222311,182,56,10
S8_D5,1.00762880,0.05181729,182,56,5
S8_D7,1.00330949,0.05174965,182,56,9
S8_D8,0.99578160,0.04120439,182,56,17
