window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02486222,0.00382105
1,0.80000001,2.40000010,0.02471075,0.00413320
2,1.60000002,3.20000005,0.02488101,0.00461862
3,2.40000010,4.00000000,0.02519411,0.00485457
4,3.20000005,4.80000019,0.02521529,0.00475338
5,4.00000000,5.59999990,0.02557342,0.00492632
6,4.80000019,6.40000010,0.02564178,0.00511363
7,5.59999990,7.19999981,0.02554080,0.00479316
8,6.40000010,8.00000000,0.02571994,0.00496529
9,7.19999981,8.80000019,0.02575757,0.00464856
10,8.00000000,9.60000038,0.02549679,0.00411481
11,8.80000019,10.39999962,0.02527349,0.00404020
12,9.60000038,11.19999981,0.02535166,0.00395331
13,10.39999962,12.00000000,0.02577285,0.00403944
14,11.19999981,12.80000019,0.02567342,0.00388358
15,12.00000000,13.60000038,0.02570005,0.00367506
16,12.80000019,14.39999962,0.02572389,0.00365916
17,13.60000038,15.19999981,0.02558348,0.00333337
18,14.39999962,16.00000000,0.02581853,0.00324535
19,15.19999981,16.79999924,0.02595140,0.00313522
20,16.00000000,17.60000038,0.02571311,0.00264184
21,16.79999924,18.39999962,0.02561691,0.00249211
22,17.60000038,19.20000076,0.02582316,0.00293629
23,18.39999962,20.00000000,0.02594646,0.00324028
24,19.20000076,20.79999924,0.02601182,0.00313837
25,20.00000000,21.60000038,0.02605829,0.00313038
26,20.79999924,22.39999962,0.02607256,0.00351501
27,21.60000038,23.20000076,0.02606124,0.00402527
28,22.39999962,24.00000000,0.02611295,0.00399728
29,23.20000076,24.79999924,0.02611947,0.00447360
30,24.00000000,25.60000038,0.02615413,0.00467364
31,24.79999924,26.39999962,0.02596586,0.00492867
32,25.60000038,27.20000076,0.02597385,0.00485257
33,26.39999962,28.00000000,0.02589128,0.00503792
34,27.20000076,28.79999924,0.02546708,0.00508945
35,28.00000000,29.60000038,0.02532916,0.00542008
36,28.79999924,30.39999962,0.02542823,0.00564224
37,29.60000038,31.20000076,0.02548350,0.00547648
38,30.39999962,32.00000000,0.02532852,0.00560311
