channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99297136,0.06068443,202,59,19
S1_D3,1.00150526,0.04170840,202,59,13
S2_D2,1.00279379,0.04148398,202,59,11
S2_D1,0.98545092,0.06910384,202,59,23
S2_D5,1.00441337,0.03989774,202,59,7
S3_D1,1.00685287,0.03070285,202,59,4
S3_D3,1.00734413,0.04034416,202,59,3
S3_D4,0.99765766,0.04230965,202,59,15
S3_D6,1.00596464,0.03090933,202,59,5
S4_D4,0.99903148,0.04778174,202,59,14
S4_D5,0.99050522,0.05965343,202,59,22
S4_D7,0.99747479,0.04579456,202,59,16
S5_D2,0.99653089,0.03782988,202,59,17
S5_D5,1.00812793,0.04123445,202,59,2
S5_D8,1.00244403,0.03982163,202,59,12
S6_D3,0.99071932,0.04904500,202,59,21
S6_D6,0.99288404,0.05274120,202,59,20
S7_D4,1.00316906,0.04100823,202,59,8
S7_D6,1.00908470,0.04050092,202,59,1
S7_D7,1.00284255,0.04045103,202,59,9
S8_D5,1.00539601,0.04193879,202,59,6
S8_D7,1.00283623,0.04437563,202,59,10
S8_D8,0.99399972,0.04302923,202,59,18
