channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.15660118,0.07255841,95,54,14
S1_D3,0.18993042,0.12464025,95,54,2
S2_D2,0.16360980,0.12718350,95,54,11
S2_D1,0.16725494,0.10422626,95,54,8
S2_D5,0.15254192,0.12352696,95,54,19
S3_D1,0.17443088,0.11589871,95,54,5
S3_D3,0.14868581,0.10147622,95,54,21
S3_D4,0.15587886,0.10335273,95,54,17
S3_D6,0.18674165,0.14470544,95,54,3
S4_D4,0.15837252,0.11456995,95,54,13
S4_D5,0.14839423,0.11493039,95,54,22
S4_D7,0.19489777,0.16104801,95,54,1
S5_D2,0.15121725,0.06337597,95,54,20
S5_D5,0.16346443,0.10801280,95,54,12
S5_D8,0.15597011,0.11864857,95,54,16
S6_D3,0.16480230,0.05780463,95,54,10
S6_D6,0.14453560,0.09246778,95,54,23
S7_D4,0.16687216,0.10933479,95,54,9
S7_D6,0.17174396,0.10798206,95,54,6
S7_D7,0.15602571,0.09398122,95,54,15
S8_D5,0.17947760,0.11227201,95,54,4
S8_D7,0.15365301,0.10569263,95,54,18
S8_D8,0.16753109,0.12741597,95,54,7
