ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,0.54966128,4,4.00000000
Brodmann.8,R,0.53571530,4,4.00000000
Brodmann.9,R,0.51573973,4,4.00000000
Brodmann.10,R,0.40823715,3,3.00000000
Brodmann.9,L,0.39769606,3,3.00000000
Brodmann.10,L,0.29119407,2,2.00000000
Brodmann.46,R,0.26201663,2,2.00000000
Brodmann.46,L,0.15163149,1,1.00000000
