window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02404161,0.00366446
1,0.80000001,2.40000010,0.02436423,0.00402041
2,1.60000002,3.20000005,0.02405144,0.00374405
3,2.40000010,4.00000000,0.02419614,0.00433614
4,3.20000005,4.80000019,0.02504063,0.00437231
5,4.00000000,5.59999990,0.02577229,0.00601202
6,4.80000019,6.40000010,0.02489138,0.00496289
7,5.59999990,7.19999981,0.02534491,0.00731005
8,6.40000010,8.00000000,0.02541526,0.00938239
9,7.19999981,8.80000019,0.02508525,0.00595809
10,8.00000000,9.60000038,0.02487993,0.00418090
11,8.80000019,10.39999962,0.02478404,0.00415348
12,9.60000038,11.19999981,0.02577104,0.00627969
13,10.39999962,12.00000000,0.02554255,0.00477644
14,11.19999981,12.80000019,0.02629423,0.00589365
15,12.00000000,13.60000038,0.02562492,0.00429338
16,12.80000019,14.39999962,0.02528193,0.00411330
17,13.60000038,15.19999981,0.02521490,0.00467852
18,14.39999962,16.00000000,0.02585668,0.00458946
19,15.19999981,16.79999924,0.02562911,0.00441921
20,16.00000000,17.60000038,0.02578474,0.00469425
21,16.79999924,18.39999962,0.02578765,0.00472171
22,17.60000038,19.20000076,0.02614890,0.00415283
23,18.39999962,20.00000000,0.02638197,0.00394467
24,19.20000076,20.79999924,0.02770017,0.00529664
25,20.00000000,21.60000038,0.02726834,0.00526236
26,20.79999924,22.39999962,0.02778531,0.00642599
27,21.60000038,23.20000076,0.02778413,0.00594481
28,22.39999962,24.00000000,0.02805443,0.00772707
29,23.20000076,24.79999924,0.02777982,0.00787529
30,24.00000000,25.60000038,0.02643112,0.00491343
31,24.79999924,26.39999962,0.02555403,0.00520779
32,25.60000038,27.20000076,0.02469704,0.00454914
33,26.39999962,28.00000000,0.02474074,0.00512221
34,27.20000076,28.79999924,0.02447731,0.00444337
35,28.00000000,29.60000038,0.02482882,0.00456152
36,28.79999924,30.39999962,0.02498377,0.00565050
37,29.60000038,31.20000076,0.02538761,0.00575586
38,30.39999962,32.00000000,0.02534163,0.00496091
