ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.9,R,4.01556360,4,4.00000000
Brodmann.8,R,4.00147117,4,4.00000000
Brodmann.8,L,3.98724706,4,4.00000000
Brodmann.9,L,3.01952923,3,3.00000000
Brodmann.10,R,2.98153830,3,3.00000000
Brodmann.10,L,2.00848782,2,2.00000000
Brodmann.46,R,2.00082082,2,2.00000000
Brodmann.46,L,0.98534209,1,1.00000000
