window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02435018,0.00411264
1,0.80000001,2.40000010,0.02466631,0.00493348
2,1.60000002,3.20000005,0.02481446,0.00484560
3,2.40000010,4.00000000,0.02623040,0.00547867
4,3.20000005,4.80000019,0.02729686,0.00587064
5,4.00000000,5.59999990,0.02806512,0.00586432
6,4.80000019,6.40000010,0.02855300,0.00633926
7,5.59999990,7.19999981,0.02912883,0.00685659
8,6.40000010,8.00000000,0.02887877,0.00704409
9,7.19999981,8.80000019,0.02844497,0.00762560
10,8.00000000,9.60000038,0.02797004,0.00699019
11,8.80000019,10.39999962,0.02691960,0.00634018
12,9.60000038,11.19999981,0.02623730,0.00571324
13,10.39999962,12.00000000,0.02586901,0.00511437
14,11.19999981,12.80000019,0.02573770,0.00561717
15,12.00000000,13.60000038,0.02592733,0.00597008
16,12.80000019,14.39999962,0.02529564,0.00616908
17,13.60000038,15.19999981,0.02564262,0.00647677
18,14.39999962,16.00000000,0.02558658,0.00520645
19,15.19999981,16.79999924,0.02548078,0.00554616
20,16.00000000,17.60000038,0.02614583,0.00619192
21,16.79999924,18.39999962,0.02578322,0.00535172
22,17.60000038,19.20000076,0.02609532,0.00564737
23,18.39999962,20.00000000,0.02590224,0.00530567
24,19.20000076,20.79999924,0.02615112,0.00570869
25,20.00000000,21.60000038,0.02575994,0.00572889
26,20.79999924,22.39999962,0.02490598,0.00609693
27,21.60000038,23.20000076,0.02442433,0.00646057
28,22.39999962,24.00000000,0.02423252,0.00684422
29,23.20000076,24.79999924,0.02406249,0.00656134
30,24.00000000,25.60000038,0.02381772,0.00581330
31,24.79999924,26.39999962,0.02376196,0.00608010
32,25.60000038,27.20000076,0.02359395,0.00628530
33,26.39999962,28.00000000,0.02335066,0.00639371
34,27.20000076,28.79999924,0.02395966,0.00629783
35,28.00000000,29.60000038,0.02407010,0.00736128
36,28.79999924,30.39999962,0.02469533,0.00798061
37,29.60000038,31.20000076,0.02432896,0.00771328
38,30.39999962,32.00000000,0.02386320,0.00705574
